name,createdAt,primaryLanguage,stargazers,pullRequests,releases,updatedAt,total_issues,closed_issues,issue_closure_ratio,age,last_update
PythonDataScienceHandbook,2016-08-10T14:24:36Z,Jupyter Notebook,42561,28,0,2024-08-22T23:13:08Z,192,76,0.3958333333333333,8,0
ImHex,2020-11-10T14:27:00Z,C++,42425,513,71,2024-08-22T22:59:00Z,1135,858,0.7559471365638767,4,0
30-Days-Of-JavaScript,2019-12-23T14:07:40Z,JavaScript,42341,98,0,2024-08-23T00:21:28Z,156,59,0.3782051282051282,5,0
CppCoreGuidelines,2015-08-19T20:22:52Z,CSS,42319,804,4,2024-08-22T22:39:43Z,1166,924,0.7924528301886793,9,0
type-challenges,2020-07-23T14:33:11Z,TypeScript,42110,557,0,2024-08-23T00:04:41Z,33539,3584,0.10686066966814753,4,0
terraform,2014-03-13T22:25:48Z,Go,41995,11709,320,2024-08-22T23:55:41Z,20930,19139,0.9144290492116579,10,0
frontend-dev-bookmarks,2013-06-22T13:23:55Z,Unknown,41989,129,1,2024-08-23T00:20:04Z,105,82,0.780952380952381,11,0
json,2013-07-04T08:47:49Z,C++,41973,710,44,2024-08-22T20:49:07Z,2229,2141,0.9605204127411395,11,0
PaddleOCR,2020-05-08T10:38:16Z,Python,41959,2432,14,2024-08-22T19:03:14Z,9230,9107,0.9866738894907909,4,0
open-source-ios-apps,2015-01-26T23:32:34Z,Unknown,41819,1155,37,2024-08-22T20:26:51Z,285,285,1.0,9,0
awesome-react-components,2016-06-24T15:19:33Z,Unknown,41746,324,0,2024-08-23T00:20:13Z,49,44,0.8979591836734694,8,0
git-flight-rules,2014-07-22T20:35:09Z,Unknown,41702,223,0,2024-08-22T18:30:35Z,73,55,0.7534246575342466,10,0
discourse,2013-01-12T00:25:55Z,Ruby,41538,24807,0,2024-08-22T23:52:02Z,0,0,0.0,11,0
grpc,2014-12-08T18:58:53Z,C++,41458,19438,323,2024-08-23T00:13:28Z,11383,10769,0.946059913906703,10,0
query,2019-09-10T19:23:58Z,TypeScript,41404,2224,918,2024-08-22T23:51:36Z,1857,1810,0.9746903607969843,5,0
yarn,2016-01-19T17:39:16Z,JavaScript,41398,1654,152,2024-08-22T02:05:28Z,6580,4719,0.7171732522796352,8,0
react-use,2018-10-27T10:16:05Z,TypeScript,41365,1519,255,2024-08-22T17:22:13Z,571,243,0.425569176882662,6,0
alist,2020-12-23T17:40:29Z,Go,41274,650,113,2024-08-22T23:11:57Z,3469,3329,0.9596425482848083,4,0
pm2,2013-05-21T03:25:25Z,JavaScript,41237,546,124,2024-08-22T21:07:23Z,4973,4062,0.8168107782022924,11,0
front-end-interview-handbook,2018-01-13T19:40:08Z,MDX,41204,301,0,2024-08-22T23:32:21Z,99,87,0.8787878787878788,6,0
awesome-java,2014-07-09T10:12:43Z,Unknown,41110,680,0,2024-08-22T21:07:09Z,130,129,0.9923076923076923,10,0
Alamofire,2014-07-31T05:56:19Z,Swift,40909,634,99,2024-08-22T21:07:13Z,2756,2717,0.9858490566037735,10,0
vue2-elm,2016-12-23T01:49:20Z,Vue,40904,21,0,2024-08-22T15:44:14Z,626,512,0.8178913738019169,8,0
