name,createdAt,primaryLanguage,stargazers,pullRequests,releases,updatedAt,total_issues,closed_issues,issue_closure_ratio,age,last_update
puppeteer,2017-05-09T22:16:13Z,TypeScript,87977,4775,426,2024-08-19T00:53:43Z,6849,6591,0.9623302671922909,7,-1
vue-element-admin,2017-04-17T03:35:49Z,Vue,87358,311,49,2024-08-19T00:37:22Z,3582,2349,0.6557788944723618,7,-1
free-for-dev,2015-03-18T21:06:26Z,HTML,86553,2532,0,2024-08-19T01:33:58Z,0,0,,9,-1
papers-we-love,2013-12-15T14:31:41Z,Shell,86150,429,0,2024-08-19T00:49:34Z,236,217,0.9194915254237288,11,-1
ollama,2023-06-26T19:39:32Z,Go,85576,1488,86,2024-08-19T01:37:01Z,4035,3017,0.7477075588599752,1,-1
thefuck,2015-04-08T15:08:04Z,Python,84193,482,17,2024-08-18T21:34:01Z,724,470,0.649171270718232,9,0
storybook,2016-03-18T04:23:44Z,TypeScript,83769,10158,1000,2024-08-19T01:14:13Z,12678,10824,0.8537624230951254,8,-1
frp,2015-12-21T15:24:59Z,Go,83535,625,98,2024-08-19T01:18:27Z,3472,3412,0.9827188940092166,9,-1
iptv,2018-11-14T22:00:57Z,JavaScript,83377,6308,0,2024-08-19T01:26:10Z,8223,8196,0.996716526815031,6,-1
Web-Dev-For-Beginners,2020-11-10T02:44:00Z,JavaScript,82656,478,0,2024-08-19T00:41:57Z,288,235,0.8159722222222222,4,-1
Awesome-Hacking,2016-03-30T15:47:10Z,Unknown,81602,31,0,2024-08-19T01:27:24Z,0,0,,8,-1
pytorch,2016-08-13T05:26:41Z,Python,81425,5820,54,2024-08-19T01:32:31Z,44211,30513,0.6901676053470855,8,-1
tailwindcss,2017-10-06T14:59:14Z,TypeScript,81288,2169,228,2024-08-18T23:37:37Z,3342,3309,0.9901256732495511,7,-1
every-programmer-should-know,2017-08-24T13:18:26Z,Unknown,81238,99,0,2024-08-19T01:33:08Z,51,21,0.4117647058823529,7,-1
tauri,2019-07-13T09:09:37Z,Rust,80976,4245,1000,2024-08-19T01:16:46Z,4321,3432,0.7942605878268919,5,-1
neovim,2014-01-31T13:39:22Z,Vim Script,80968,13388,38,2024-08-19T01:17:51Z,11561,10108,0.8743188305509904,10,-1
animate.css,2011-10-12T10:07:38Z,CSS,80425,315,22,2024-08-19T01:35:01Z,864,841,0.9733796296296297,13,-1
yt-dlp,2020-10-26T04:22:55Z,Python,80239,2204,91,2024-08-19T01:33:54Z,7565,6189,0.8181097157964309,4,-1
realworld,2016-02-26T20:49:53Z,TypeScript,80130,428,0,2024-08-19T01:25:53Z,531,491,0.9246704331450094,8,-1
excalidraw,2020-01-02T01:04:43Z,TypeScript,79365,3413,13,2024-08-19T01:19:43Z,3434,1983,0.5774606872451951,4,-1
django,2012-04-28T02:47:18Z,Python,78534,9106,0,2024-08-19T01:07:31Z,0,0,,12,-1
nvm,2010-04-15T17:47:47Z,Shell,78304,708,67,2024-08-19T01:17:53Z,2179,1887,0.8659935750344194,14,-1
svelte,2016-11-20T18:13:05Z,JavaScript,77960,4578,248,2024-08-19T01:20:47Z,6869,6073,0.8841170476051827,8,-1
bitcoin,2010-12-19T15:16:43Z,C++,77923,14344,51,2024-08-19T01:31:38Z,8094,7737,0.9558932542624166,14,-1
laravel,2011-06-08T03:06:08Z,PHP,77807,1578,170,2024-08-19T01:14:36Z,0,0,,13,-1
app-ideas,2019-02-25T18:36:56Z,Unknown,77795,149,0,2024-08-19T01:25:19Z,145,43,0.296551724137931,5,-1
opencv,2012-07-19T09:40:17Z,C++,77516,12271,63,2024-08-19T01:26:57Z,10683,8205,0.7680426846391463,12,-1
gin,2014-06-16T23:57:25Z,Go,77480,1025,26,2024-08-19T01:14:38Z,2216,1621,0.7314981949458483,10,-1
mall,2018-04-04T01:11:44Z,Java,76987,1,3,2024-08-19T01:01:31Z,492,470,0.9552845528455285,6,-1
models,2016-02-05T01:15:20Z,Python,76908,2327,46,2024-08-19T00:30:25Z,7271,6205,0.8533901801677899,8,-1
FiraCode,2014-11-11T19:32:38Z,Clojure,76468,132,29,2024-08-18T23:41:32Z,1324,934,0.7054380664652568,10,-1
